Resistance [\fW\n]	Temperature [K]
8.7e-05	2.58801
0.000707	2.80904
0.000569	3.04732
0.000606	3.26077
0.00027	3.55197
0.000366	3.77157
0.00045	3.99703
-6e-05	4.2346
9.7e-05	4.48596
-2.1e-05	4.74231
-9.9e-05	4.99421
0.000172	5.23422
0.000145	5.46183
-0.000137	5.6786
0.000796	5.88285
0.000136	6.16102
0.000224	6.4217
0.000107	6.66573
-3e-06	6.89099
-7.7e-05	7.10496
0.000276	7.30611
0.000317	7.55769
0.000174	8.07056
0.000349	8.2822
0.000176	8.48728
0.000293	8.69234
-1e-05	8.9345
9.7e-05	9.17251
0.000118	9.40899
-0.000152	9.64393
0.00035	9.87688
0.000124	10.1042
3e-06	10.3227
0.000238	10.5321
0.000332	10.733
4.2e-05	10.9664
0	11.1936
0.000615	11.4171
-0.000213	11.6382
0.000188	11.8584
0.00021	12.0836
5.2e-05	12.3141
-0.000183	12.5414
0.000212	12.7664
0.000236	12.9908
7e-05	13.2156
0.000287	13.4433
0.00047	13.6757
0.000139	13.9143
0.000211	14.1194
0.000231	14.3307
0.000107	14.5487
0.000257	14.7738
-5e-06	15.0062
5.3e-05	15.2456
0.000176	15.4917
0.000171	15.6931
0.000131	15.8987
0.000124	16.108
0.000158	16.3212
0.00041	16.538
0.0009	16.7583
0.003267	16.9823
0.040313	17.2097
0.044938	17.4408
0.048929	17.6757
0.05296	17.9138
0.055821	18.1554
0.05848	18.3999
0.060548	18.647
0.062438	18.8962
0.064063	19.1469
0.065559	19.3987
0.066764	19.651
0.067976	19.903
0.069331	20.1545
0.069993	20.4051
0.070991	20.6546
0.071648	20.9032
0.073527	21.1513
0.074059	21.3996
0.074606	21.6492
0.075057	21.9009
0.075608	22.1547
0.075908	22.4091
0.07634	22.6613
0.076529	22.9091
0.077109	23.1495
0.07709	23.3833
0.077332	23.6159
0.077685	23.8531
0.077885	24.097
0.078084	24.3445
0.078169	24.5656
0.078392	24.8053
0.078503	25.0466
0.078558	25.2865
0.07858	25.5235
0.0791	25.757
0.078988	25.9867
0.079094	26.213
0.079115	26.4367
0.079284	26.6574
0.0794	26.8763
0.079537	27.0932
0.079682	27.309
0.07999	27.5228
0.079815	27.7361
0.079734	27.948
0.079597	28.1588
0.079574	28.3685
0.079709	28.5775
0.07972	28.7845
0.079687	28.9913
0.079778	29.1971
0.079684	29.4016
0.079816	29.6051
0.079723	29.8075
0.079572	30.0087
0.079618	30.209
0.079461	30.4576
0.079907	30.7046
0.080581	30.95
0.080751	31.1934
0.080283	31.4354
0.079666	31.6761
0.079816	31.915
0.080193	32.152
0.080418	32.3876
