Resistance [\fW\n]	Temperature [K]
2.19149	2.58801
2.19404	2.80904
2.20083	3.04732
2.21001	3.26077
2.223	3.55197
2.2329	3.77157
2.24354	3.99703
2.25654	4.2346
2.27125	4.48596
2.2872	4.74231
2.30487	4.99421
2.32173	5.23422
2.33926	5.46183
2.35642	5.6786
2.37216	5.88285
2.39387	6.16102
2.41329	6.4217
2.43031	6.66573
2.44538	6.89099
2.45852	7.10496
2.47296	7.30611
2.49409	7.55769
2.52859	8.07056
2.54151	8.2822
2.55448	8.48728
2.56883	8.69234
2.59471	8.9345
2.62149	9.17251
2.64135	9.40899
2.66203	9.64393
2.68621	9.87688
2.71692	10.1042
2.75456	10.3227
2.803	10.5321
2.8596	10.733
2.93945	10.9664
3.02076	11.1936
3.09659	11.4171
3.16345	11.6382
3.21845	11.8584
3.25438	12.0836
3.28284	12.3141
3.30752	12.5414
3.32961	12.7664
3.35006	12.9908
3.36789	13.2156
3.38427	13.4433
3.39929	13.6757
3.41317	13.9143
3.4237	14.1194
3.4328	14.3307
3.4418	14.5487
3.44991	14.7738
3.45747	15.0062
3.46439	15.2456
3.47106	15.4917
3.47624	15.6931
3.48149	15.8987
3.4869	16.108
3.49216	16.3212
3.49728	16.538
3.50205	16.7583
3.50657	16.9823
3.51028	17.2097
3.51355	17.4408
3.5157	17.6757
3.51733	17.9138
3.51817	18.1554
3.51807	18.3999
3.51767	18.647
3.51641	18.8962
3.5148	19.1469
3.51251	19.3987
3.50965	19.651
3.50698	19.903
3.50289	20.1545
3.49909	20.4051
3.49478	20.6546
3.49036	20.9032
3.4858	21.1513
3.48116	21.3996
3.47667	21.6492
3.47182	21.9009
3.46693	22.1547
3.46208	22.4091
3.45735	22.6613
3.45234	22.9091
3.44736	23.1495
3.44262	23.3833
3.43764	23.6159
3.43274	23.8531
3.42809	24.097
3.42346	24.3445
3.41898	24.5656
3.41414	24.8053
3.40979	25.0466
3.40566	25.2865
3.4012	25.5235
3.39694	25.757
3.39274	25.9867
3.38805	26.213
3.38388	26.4367
3.38003	26.6574
3.37583	26.8763
3.37212	27.0932
3.36826	27.309
3.36434	27.5228
3.36044	27.7361
3.35644	27.948
3.35295	28.1588
3.34905	28.3685
3.34542	28.5775
3.34179	28.7845
3.33788	28.9913
3.33433	29.1971
3.33076	29.4016
3.32712	29.6051
3.324	29.8075
3.32077	30.0087
3.31768	30.209
3.31339	30.4576
3.30923	30.7046
3.30522	30.95
3.30171	31.1934
3.29773	31.4354
3.29431	31.6761
3.29094	31.915
3.2868	32.152
3.28315	32.3876
3.27979	32.6219
3.27629	32.8544
3.27299	33.0861
3.26954	33.3158
3.26605	33.5445
3.26277	33.7714
3.25925	33.997
3.25599	34.2216
3.25287	34.4447
3.24954	34.6666
3.24653	34.8872
3.24339	35.1063
3.24061	35.3243
3.23756	35.5414
3.23479	35.7572
3.23179	35.972
3.22871	36.185
3.22578	36.3969
3.22276	36.6086
3.21998	36.8183
3.21761	37.0271
3.21482	37.235
3.21217	37.4415
3.20934	37.6472
3.20642	37.8521
3.20411	38.0554
3.20106	38.2584
3.19855	38.4601
3.19631	38.6602
3.19294	38.8996
3.19007	39.1377
3.18706	39.3745
3.18423	39.6097
3.18124	39.8434
3.17855	40.076
3.17562	40.3073
3.1734	40.5374
3.17096	40.7662
3.16826	40.9942
3.16543	41.2206
3.16271	41.4465
3.16042	41.671
