Resistance [\fW]	Temperature [K]
8.74832e-09	1.88523e-38
7.07403e-08	1.88523e-38
5.68637e-08	1.88523e-38
6.06344e-08	1.88523e-38
2.69988e-08	1.88523e-38
3.66019e-08	1.88523e-38
4.49983e-08	1.88523e-38
-5.983e-09	1.88523e-38
9.70351e-09	1.88523e-38
-2.06137e-09	1.88523e-38
-9.90462e-09	1.88523e-38
1.71948e-08	1.88523e-38
1.45302e-08	1.88523e-38
-1.37253e-08	1.88523e-38
7.95891e-08	1.88523e-38
1.36251e-08	1.88523e-38
2.23735e-08	1.88523e-38
1.07091e-08	1.88523e-38
-2.51362e-10	1.88523e-38
-7.69245e-09	1.88523e-38
2.7552e-08	1.88523e-38
3.1725e-08	1.88523e-38
1.74462e-08	1.88523e-38
3.48925e-08	1.88523e-38
1.76476e-08	1.88523e-38
2.92614e-08	1.88523e-38
-9.5531e-10	1.88523e-38
9.65326e-09	1.88523e-38
1.18151e-08	1.88523e-38
-1.51838e-08	1.88523e-38
3.50433e-08	1.88523e-38
1.24185e-08	1.88523e-38
3.01668e-10	1.88523e-38
2.38314e-08	1.88523e-38
3.3183e-08	1.88523e-38
4.17302e-09	1.88523e-38
0	1.88523e-38
6.15396e-08	1.88523e-38
-2.12674e-08	1.88523e-38
1.88038e-08	1.88523e-38
2.1016e-08	1.88523e-38
5.17828e-09	1.88523e-38
-1.82507e-08	1.88523e-38
2.12171e-08	1.88523e-38
2.36303e-08	1.88523e-38
7.03886e-09	1.88523e-38
2.86582e-08	1.88523e-38
4.70094e-08	1.88523e-38
1.38766e-08	1.88523e-38
2.11166e-08	1.88523e-38
2.30774e-08	1.88523e-38
1.07091e-08	1.88523e-38
2.57421e-08	1.88523e-38
-5.02776e-10	1.88523e-38
5.27913e-09	1.88523e-38
1.75971e-08	1.88523e-38
1.71446e-08	1.88523e-38
1.31224e-08	1.88523e-38
1.23683e-08	1.88523e-38
1.57872e-08	1.88523e-38
4.09761e-08	1.88523e-38
9.0047e-08	1.88523e-38
3.26703e-07	1.88523e-38
4.03134e-06	1.88523e-38
4.49384e-06	1.88523e-38
4.8929e-06	1.88523e-38
5.29597e-06	1.88523e-38
5.5821e-06	1.88523e-38
5.84797e-06	1.88523e-38
6.05481e-06	1.88523e-38
6.24375e-06	1.88523e-38
6.4063e-06	1.88523e-38
6.55593e-06	1.88523e-38
6.67638e-06	1.88523e-38
6.79756e-06	1.88523e-38
6.93311e-06	1.88523e-38
6.99932e-06	1.88523e-38
7.09913e-06	1.88523e-38
7.16479e-06	1.88523e-38
