ch1+ 	 ch1- 	ch2+ 	 ch2- 	ch5+ 	 Temperature 
+2.21460156E-04 	 -2.16838157E-04 	-3.21283577E-06 	 -3.23033226E-06 	+1.68078996E+00 	 2.588006 
+2.21715737E-04 	 -2.17093125E-04 	-4.48465640E-06 	 -4.62613693E-06 	+1.67467458E+00 	 2.809035 
+2.22373432E-04 	 -2.17791746E-04 	-4.42341616E-06 	 -4.53714348E-06 	+1.66759484E+00 	 3.047321 
+2.23253929E-04 	 -2.18748090E-04 	-4.22391519E-06 	 -4.34518408E-06 	+1.66095490E+00 	 3.260774 
+2.24535875E-04 	 -2.20064390E-04 	-3.94829554E-06 	 -4.00229339E-06 	+1.65159080E+00 	 3.551972 
+2.25514058E-04 	 -2.21066196E-04 	-3.75483106E-06 	 -3.82803491E-06 	+1.64433824E+00 	 3.771567 
+2.26575240E-04 	 -2.22132298E-04 	-3.68907001E-06 	 -3.77906656E-06 	+1.63671455E+00 	 3.997031 
+2.27840602E-04 	 -2.23466640E-04 	-3.44743523E-06 	 -3.43546922E-06 	+1.62845749E+00 	 4.234603 
+2.29305001E-04 	 -2.24945616E-04 	-3.16276376E-06 	 -3.18217082E-06 	+1.61943366E+00 	 4.485962 
+2.30843826E-04 	 -2.26596455E-04 	-3.07105709E-06 	 -3.06693435E-06 	+1.60990305E+00 	 4.742309 
+2.32602881E-04 	 -2.28370394E-04 	-2.90323085E-06 	 -2.88342159E-06 	+1.60022692E+00 	 4.994211 
+2.34290120E-04 	 -2.30055308E-04 	-2.72715964E-06 	 -2.76154933E-06 	+1.59076967E+00 	 5.234221 
+2.36066890E-04 	 -2.31785616E-04 	-2.57270904E-06 	 -2.60176935E-06 	+1.58165450E+00 	 5.461835 
+2.37773655E-04 	 -2.33509768E-04 	-2.44188716E-06 	 -2.41443646E-06 	+1.57290804E+00 	 5.678603 
+2.39338399E-04 	 -2.35094515E-04 	-2.25415231E-06 	 -2.41333049E-06 	+1.56465877E+00 	 5.882854 
+2.41545517E-04 	 -2.37229328E-04 	-2.14766437E-06 	 -2.17491470E-06 	+1.55347258E+00 	 6.161023 
+2.43491332E-04 	 -2.39166592E-04 	-2.05052744E-06 	 -2.09527427E-06 	+1.54307547E+00 	 6.421704 
+2.45180122E-04 	 -2.40881320E-04 	-1.95872109E-06 	 -1.98013924E-06 	+1.53342615E+00 	 6.665733 
+2.46676578E-04 	 -2.42399856E-04 	-1.88662491E-06 	 -1.88612214E-06 	+1.52458739E+00 	 6.890993 
+2.48002036E-04 	 -2.43701816E-04 	-1.76304193E-06 	 -1.74765706E-06 	+1.51624943E+00 	 7.104956 
+2.49409177E-04 	 -2.45183160E-04 	-1.68893349E-06 	 -1.74403747E-06 	+1.50846337E+00 	 7.306106 
+2.51477769E-04 	 -2.47340740E-04 	-1.60698039E-06 	 -1.67043035E-06 	+1.49880887E+00 	 7.557689 
+2.54929471E-04 	 -2.50787706E-04 	-1.42045141E-06 	 -1.45534385E-06 	+1.47954344E+00 	 8.070557 
+2.56196841E-04 	 -2.52105745E-04 	-1.42266462E-06 	 -1.49244958E-06 	+1.47182303E+00 	 8.282195 
+2.57501920E-04 	 -2.53393929E-04 	-1.31185293E-06 	 -1.34714795E-06 	+1.46450440E+00 	 8.487285 
+2.58911246E-04 	 -2.54854132E-04 	-1.18344449E-06 	 -1.24196729E-06 	+1.45736394E+00 	 8.692342 
+2.61465119E-04 	 -2.57475970E-04 	-1.17540033E-06 	 -1.17348979E-06 	+1.44917176E+00 	 8.934500 
+2.64140880E-04 	 -2.60157249E-04 	-1.09706869E-06 	 -1.11637520E-06 	+1.44137538E+00 	 9.172512 
+2.66132660E-04 	 -2.62136361E-04 	-9.52470247E-07 	 -9.76100574E-07 	+1.43387135E+00 	 9.408994 
+2.68216408E-04 	 -2.64189125E-04 	-9.04405544E-07 	 -8.74038032E-07 	+1.42663933E+00 	 9.643930 
+2.70571998E-04 	 -2.66670447E-04 	-8.53926728E-07 	 -9.24013267E-07 	+1.41966797E+00 	 9.876882 
+2.73694830E-04 	 -2.69688548E-04 	-8.18431033E-07 	 -8.43268018E-07 	+1.41303757E+00 	 10.104169 
+2.77410758E-04 	 -2.73501422E-04 	-7.55986475E-07 	 -7.56589802E-07 	+1.40680626E+00 	 10.322652 
+2.82251651E-04 	 -2.78347743E-04 	-7.02290581E-07 	 -7.49953483E-07 	+1.40095030E+00 	 10.532094 
+2.87880793E-04 	 -2.84039311E-04 	-6.61465194E-07 	 -7.27831183E-07 	+1.39543063E+00 	 10.733038 
+2.95865493E-04 	 -2.92023542E-04 	-4.89114734E-07 	 -4.97460768E-07 	+1.38913371E+00 	 10.966407 
+3.04049611E-04 	 -3.00102961E-04 	-4.36524549E-07 	 -4.36524549E-07 	+1.38311775E+00 	 11.193559 
+3.11634752E-04 	 -3.07683968E-04 	-3.22495235E-07 	 -4.45574459E-07 	+1.37730717E+00 	 11.417101 
+3.18271797E-04 	 -3.14418709E-04 	-2.41447813E-07 	 -1.98913054E-07 	+1.37167249E+00 	 11.638171 
+3.23841567E-04 	 -3.19848791E-04 	-1.54668933E-07 	 -1.92276490E-07 	+1.36617569E+00 	 11.858436 
+3.27412869E-04 	 -3.23462313E-04 	-1.10122978E-07 	 -1.52154965E-07 	+1.36078240E+00 	 12.083554 
