Resistance [\fW]	Temperature [K]
2.58801	1.88523e-38
2.80904	1.88523e-38
3.04732	1.88523e-38
3.26077	1.88523e-38
3.55197	1.88523e-38
3.77157	1.88523e-38
3.99703	1.88523e-38
4.2346	1.88523e-38
4.48596	1.88523e-38
4.74231	1.88523e-38
4.99421	1.88523e-38
5.23422	1.88523e-38
5.46183	1.88523e-38
5.6786	1.88523e-38
5.88285	1.88523e-38
6.16102	1.88523e-38
6.4217	1.88523e-38
6.66573	1.88523e-38
6.89099	1.88523e-38
7.10496	1.88523e-38
7.30611	1.88523e-38
7.55769	1.88523e-38
8.07056	1.88523e-38
8.2822	1.88523e-38
8.48728	1.88523e-38
8.69234	1.88523e-38
8.9345	1.88523e-38
9.17251	1.88523e-38
9.40899	1.88523e-38
9.64393	1.88523e-38
9.87688	1.88523e-38
10.1042	1.88523e-38
10.3227	1.88523e-38
10.5321	1.88523e-38
10.733	1.88523e-38
10.9664	1.88523e-38
11.1936	1.88523e-38
11.4171	1.88523e-38
11.6382	1.88523e-38
11.8584	1.88523e-38
12.0836	1.88523e-38
12.3141	1.88523e-38
12.5414	1.88523e-38
12.7664	1.88523e-38
12.9908	1.88523e-38
13.2156	1.88523e-38
13.4433	1.88523e-38
13.6757	1.88523e-38
13.9143	1.88523e-38
14.1194	1.88523e-38
14.3307	1.88523e-38
14.5487	1.88523e-38
14.7738	1.88523e-38
15.0062	1.88523e-38
15.2456	1.88523e-38
15.4917	1.88523e-38
15.6931	1.88523e-38
15.8987	1.88523e-38
16.108	1.88523e-38
16.3212	1.88523e-38
16.538	1.88523e-38
16.7583	1.88523e-38
16.9823	1.88523e-38
17.2097	1.88523e-38
17.4408	1.88523e-38
17.6757	1.88523e-38
17.9138	1.88523e-38
18.1554	1.88523e-38
18.3999	1.88523e-38
18.647	1.88523e-38
18.8962	1.88523e-38
19.1469	1.88523e-38
19.3987	1.88523e-38
19.651	1.88523e-38
19.903	1.88523e-38
20.1545	1.88523e-38
20.4051	1.88523e-38
20.6546	1.88523e-38
20.9032	1.88523e-38
21.1513	1.88523e-38
21.3996	1.88523e-38
21.6492	1.88523e-38
21.9009	1.88523e-38
22.1547	1.88523e-38
22.4091	1.88523e-38
22.6613	1.88523e-38
22.9091	1.88523e-38
23.1495	1.88523e-38
23.3833	1.88523e-38
23.6159	1.88523e-38
23.8531	1.88523e-38
24.097	1.88523e-38
24.3445	1.88523e-38
24.5656	1.88523e-38
24.8053	1.88523e-38
25.0466	1.88523e-38
25.2865	1.88523e-38
25.5235	1.88523e-38
25.757	1.88523e-38
25.9867	1.88523e-38
26.213	1.88523e-38
26.4367	1.88523e-38
26.6574	1.88523e-38
26.8763	1.88523e-38
27.0932	1.88523e-38
27.309	1.88523e-38
27.5228	1.88523e-38
27.7361	1.88523e-38
27.948	1.88523e-38
28.1588	1.88523e-38
28.3685	1.88523e-38
28.5775	1.88523e-38
28.7845	1.88523e-38
28.9913	1.88523e-38
29.1971	1.88523e-38
29.4016	1.88523e-38
29.6051	1.88523e-38
29.8075	1.88523e-38
30.0087	1.88523e-38
30.209	1.88523e-38
30.4576	1.88523e-38
30.7046	1.88523e-38
30.95	1.88523e-38
31.1934	1.88523e-38
31.4354	1.88523e-38
31.6761	1.88523e-38
31.915	1.88523e-38
32.152	1.88523e-38
32.3876	1.88523e-38
32.6219	1.88523e-38
32.8544	1.88523e-38
33.0861	1.88523e-38
33.3158	1.88523e-38
33.5445	1.88523e-38
33.7714	1.88523e-38
33.997	1.88523e-38
34.2216	1.88523e-38
34.4447	1.88523e-38
34.6666	1.88523e-38
34.8872	1.88523e-38
35.1063	1.88523e-38
35.3243	1.88523e-38
35.5414	1.88523e-38
35.7572	1.88523e-38
35.972	1.88523e-38
36.185	1.88523e-38
36.3969	1.88523e-38
36.6086	1.88523e-38
36.8183	1.88523e-38
37.0271	1.88523e-38
37.235	1.88523e-38
37.4415	1.88523e-38
37.6472	1.88523e-38
37.8521	1.88523e-38
38.0554	1.88523e-38
38.2584	1.88523e-38
38.4601	1.88523e-38
38.6602	1.88523e-38
38.8996	1.88523e-38
39.1377	1.88523e-38
39.3745	1.88523e-38
39.6097	1.88523e-38
39.8434	1.88523e-38
40.076	1.88523e-38
40.3073	1.88523e-38
40.5374	1.88523e-38
40.7662	1.88523e-38
40.9942	1.88523e-38
41.2206	1.88523e-38
