Bi2201Gd041029nonannealed 	Bi2201Eu050201annealed 	Temperature 
2.191492 	0.000087 	2.588006 
2.194044 	0.000707 	2.809035 
2.200826 	0.000569 	3.047321 
2.210010 	0.000606 	3.260774 
2.223001 	0.000270 	3.551972 
2.232901 	0.000366 	3.771567 
2.243538 	0.000450 	3.997031 
2.256536 	-0.000060 	4.234603 
2.271253 	0.000097 	4.485962 
2.287201 	-0.000021 	4.742309 
2.304866 	-0.000099 	4.994211 
2.321727 	0.000172 	5.234221 
2.339263 	0.000145 	5.461835 
2.356417 	-0.000137 	5.678603 
2.372165 	0.000796 	5.882854 
2.393874 	0.000136 	6.161023 
2.413290 	0.000224 	6.421704 
2.430307 	0.000107 	6.665733 
2.445382 	-0.000003 	6.890993 
2.458519 	-0.000077 	7.104956 
2.472962 	0.000276 	7.306106 
2.494093 	0.000317 	7.557689 
2.528586 	0.000174 	8.070557 
2.541513 	0.000349 	8.282195 
2.554479 	0.000176 	8.487285 
2.568827 	0.000293 	8.692342 
2.594705 	-0.000010 	8.934500 
2.621491 	0.000097 	9.172512 
2.641345 	0.000118 	9.408994 
2.662028 	-0.000152 	9.643930 
2.686212 	0.000350 	9.876882 
2.716917 	0.000124 	10.104169 
2.754561 	0.000003 	10.322652 
2.802997 	0.000238 	10.532094 
2.859601 	0.000332 	10.733038 
2.939445 	0.000042 	10.966407 
3.020763 	0.000000 	11.193559 
3.096594 	0.000615 	11.417101 
3.163453 	-0.000213 	11.638171 
3.218452 	0.000188 	11.858436 
3.254376 	0.000210 	12.083554 
3.282836 	0.000052 	12.314147 
3.307523 	-0.000183 	12.541431 
3.329609 	0.000212 	12.766428 
3.350062 	0.000236 	12.990794 
3.367888 	0.000070 	13.215585 
3.384271 	0.000287 	13.443297 
3.399294 	0.000470 	13.675709 
3.413171 	0.000139 	13.914313 
3.423700 	0.000211 	14.119416 
3.432799 	0.000231 	14.330662 
3.441802 	0.000107 	14.548671 
3.449906 	0.000257 	14.773819 
3.457475 	-0.000005 	15.006156 
3.464390 	0.000053 	15.245576 
3.471055 	0.000176 	15.491715 
3.476240 	0.000171 	15.693076 
3.481490 	0.000131 	15.898665 
3.486904 	0.000124 	16.108033 
3.492156 	0.000158 	16.321228 
3.497285 	0.000410 	16.537958 
3.502051 	0.000900 	16.758279 
3.506568 	0.003267 	16.982254 
3.510283 	0.040313 	17.209689 
3.513549 	0.044938 	17.440802 
3.515695 	0.048929 	17.675652 
3.517332 	0.052960 	17.913782 
3.518175 	0.055821 	18.155383 
3.518073 	0.058480 	18.399883 
3.517669 	0.060548 	18.646968 
3.516407 	0.062438 	18.896240 
3.514800 	0.064063 	19.146922 
3.512510 	0.065559 	19.398720 
3.509651 	0.066764 	19.650956 
3.506984 	0.067976 	19.902952 
3.502894 	0.069331 	20.154532 
3.499092 	0.069993 	20.405077 
3.494780 	0.070991 	20.654566 
3.490356 	0.071648 	20.903221 
3.485803 	0.073527 	21.151313 
3.481158 	0.074059 	21.399592 
3.476667 	0.074606 	21.649166 
3.471822 	0.075057 	21.900855 
3.466931 	0.075608 	22.154728 
3.462083 	0.075908 	22.409054 
3.457347 	0.076340 	22.661314 
3.452342 	0.076529 	22.909111 
3.447355 	0.077109 	23.149490 
3.442624 	0.077090 	23.383292 
3.437638 	0.077332 	23.615926 
3.432738 	0.077685 	23.853064 
3.428090 	0.077885 	24.097019 
3.423464 	0.078084 	24.344520 
3.418983 	0.078169 	24.565627 
3.414140 	0.078392 	24.805284 
3.409793 	0.078503 	25.046640 
3.405657 	0.078558 	25.286496 
3.401203 	0.078580 	25.523484 
3.396939 	0.079100 	25.756973 
3.392737 	0.078988 	25.986685 
3.388047 	0.079094 	26.213016 
3.383877 	0.079115 	26.436721 
3.380034 	0.079284 	26.657417 
3.375832 	0.079400 	26.876306 
3.372116 	0.079537 	27.093232 
3.368257 	0.079682 	27.308950 
3.364335 	0.079990 	27.522790 
3.360440 	0.079815 	27.736099 
3.356443 	0.079734 	27.947980 
3.352953 	0.079597 	28.158757 
3.349047 	0.079574 	28.368538 
3.345417 	0.079709 	28.577490 
3.341789 	0.079720 	28.784531 
3.337880 	0.079687 	28.991286 
3.334330 	0.079778 	29.197104 
3.330761 	0.079684 	29.401636 
3.327123 	0.079816 	29.605117 
3.324003 	0.079723 	29.807470 
3.320767 	0.079572 	30.008732 
3.317678 	0.079618 	30.209045 
3.313389 	0.079461 	30.457599 
3.309226 	0.079907 	30.704598 
3.305220 	0.080581 	30.950015 
3.301708 	0.080751 	31.193411 
3.297729 	0.080283 	31.435425 
3.294307 	0.079666 	31.676075 
3.290937 	0.079816 	31.915010 
3.286799 	0.080193 	32.151988 
3.283148 	0.080418 	32.387647 
3.279790 	0.080793 	32.621925 
3.276287 	0.080700 	32.854418 
3.272993 	0.080843 	33.086064 
3.269536 	0.080655 	33.315836 
3.266054 	0.081025 	33.544453 
3.262770 	0.080750 	33.771400 
3.259255 	0.081155 	33.997008 
3.255990 	0.081154 	34.221589 
3.252866 	0.081204 	34.444733 
3.249544 	0.081054 	34.666604 
3.246525 	0.080353 	34.887217 
3.243392 	0.082279 	35.106311 
3.240610 	0.082169 	35.324332 
3.237558 	0.082242 	35.541387 
3.234794 	0.082140 	35.757206 
3.231785 	0.081988 	35.972049 
3.228714 	0.080731 	36.185008 
3.225775 	0.080996 	36.396917 
3.222764 	0.080793 	36.608639 
3.219981 	0.080621 	36.818338 
3.217607 	0.081033 	37.027134 
3.214820 	0.081063 	37.234990 
3.212174 	0.081042 	37.441538 
3.209335 	0.081013 	37.647241 
3.206425 	0.080886 	37.852114 
3.204110 	0.080222 	38.055444 
3.201063 	0.080151 	38.258433 
3.198555 	0.079750 	38.460095 
3.196313 	0.079864 	38.660163 
3.192944 	0.080557 	38.899602 
3.190068 	0.081145 	39.137735 
3.187055 	0.080926 	39.374548 
3.184234 	0.081235 	39.609742 
3.181238 	0.081297 	39.843404 
3.178546 	0.080879 	40.075987 
3.175621 	0.080873 	40.307309 
3.173403 	0.080612 	40.537407 
3.170956 	0.080693 	40.766242 
3.168259 	0.080556 	40.994214 
3.165425 	0.080360 	41.220651 
3.162714 	0.080986 	41.446506 
3.160425 	0.080595 	41.670982 
3.157660 	0.080633 	41.894580 
3.155048 	0.080687 	42.116736 
3.152164 	0.081529 	42.337716 
3.149879 	0.081500 	42.558209 
3.147498 	0.081297 	42.777192 
3.144880 	0.080969 	42.995061 
3.142499 	0.080881 	43.212632 
3.139981 	0.081501 	43.428976 
3.137943 	0.080966 	43.644116 
3.135714 	0.081251 	43.858939 
3.133542 	0.081803 	44.072120 
3.131244 	0.081941 	44.285340 
3.128871 	0.081352 	44.497247 
3.126488 	0.081469 	44.708273 
3.124633 	0.083484 	44.918311 
3.122170 	0.083625 	45.128212 
3.120185 	0.081476 	45.336932 
3.118316 	0.082386 	45.544615 
3.116035 	0.083008 	45.752241 
3.113734 	0.082756 	45.958859 
3.111353 	0.082752 	46.164513 
3.109491 	0.082134 	46.369752 
3.107670 	0.082007 	46.574192 
3.105714 	0.081917 	46.778532 
3.103739 	0.081826 	46.981395 
3.101732 	0.081478 	47.183674 
3.099635 	0.081980 	47.385722 
3.097466 	0.081826 	47.586766 
3.095919 	0.082465 	47.787631 
3.093215 	0.084546 	47.987654 
3.090609 	0.085327 	48.220464 
3.088487 	0.085741 	48.452299 
3.085727 	0.085208 	48.683042 
3.083764 	0.082838 	48.913547 
3.081833 	0.083373 	49.142647 
3.079611 	0.085885 	49.371501 
3.077435 	0.085835 	49.599397 
3.075298 	0.083949 	49.826334 
3.070676 	0.080629 	50.343582 
3.065591 	0.081581 	50.855996 
3.061058 	0.082312 	51.365538 
3.057180 	0.083827 	51.871178 
3.053296 	0.081590 	52.372574 
3.048448 	0.080125 	52.902453 
3.043349 	0.082126 	53.428400 
3.038771 	0.084033 	53.950653 
3.034255 	0.092073 	54.469576 
3.030601 	0.086368 	54.985042 
3.026095 	0.085116 	55.497082 
3.022149 	0.083674 	56.005916 
3.018314 	0.081255 	56.511133 
3.014253 	0.080328 	57.013751 
3.009781 	0.082412 	57.543168 
3.003904 	0.084221 	58.069014 
2.999782 	0.082351 	58.591671 
