[Header]
TITLE,MPMS DC Measurement
BYAPP,MPMS Measurement,2.0,Summary
FILEOPENTIME, 1119503968.060000 6/23/2005, 2:19:28 PM

INFO, APPNAME, MPMS MultiVu Application, Revision 1.52,  Build 049

INFO, NAME, Bi2201Gd(041029)nonannealed
INFO, WEIGHT, 28.900
INFO, AREA, 1.000
INFO, LENGTH, 0.500
INFO, SHAPE, 0
INFO, COMMENT, 
INFO, SEQUENCE FILE: Bi2201Gd_B_scan(050623byHarada).seq


INFO, BACKGROUND DATA FILE:, None


STARTUPAXIS,X,4,LINEAR,AUTO,0.000000,0.000000
STARTUPAXIS,Y1,5,LINEAR,AUTO,0.000000,0.000000


STARTUPGROUP,Longitudinal
FIELDGROUP,Longitudinal,1,2,3,4,5,6,7,8,9,15,16,17,18,27,28
FIELDGROUP,Transverse,1,2,3,4,10,11,12,13,14,19,20,21,22,27,28

PLOT_APPEARANCE,ALL,HORZ_GRID_ON,VERT_GRID_ON,MARKERS_AND_LINES

[Data]
Time,Comment,Field (Oe),Temperature (K),Long Moment (EMU),Long Scan Std Dev,Long Algorithm,Long Reg Fit,Long Percent Error (%),Trans Moment (EMU),Trans Scan Std Dev,Trans Algorithm,Trans Reg Fit,Trans Percent Error (%),Long Moment [w/o ABS] (EMU),Long Scan Std Dev [w/o ABS],Long Reg Fit [w/o ABS],Long Percent Error [w/o ABS] (%),Trans Moment [w/o ABS] (EMU),Trans Scan Std Dev [w/o ABS],Trans Reg Fit [w/o ABS],Trans Percent Error [w/o ABS] (%),Points per Scan,Scans per Measurement,Scan Length,Delta Temp (K),Rot Position,Error,EC Comp. Running,Using ABS,
1119503968.060,,5.000000e+000,1.998587e+000,-8.441799e-005,1.497561e-006,3,8.902575e-001,1.773983e+000,,,,,,,,,,,,,,32,2,4.000000e+000,2.568007e-003,0.000000e+000,0,,0,
1119504073.130,,1.450000e+001,2.003568e+000,-2.554876e-004,5.351744e-006,3,9.673869e-001,2.094718e+000,,,,,,,,,,,,,,32,2,4.000000e+000,2.511978e-003,0.000000e+000,0,,0,
1119504167.710,,2.400000e+001,2.002558e+000,-5.052774e-006,8.656254e-006,2,1.382845e-001,1.713169e+002,,,,,,,,,,,,,,32,2,4.000000e+000,3.323078e-003,0.000000e+000,0,,0,
1119504260.260,,3.350000e+001,2.002197e+000,4.159929e-004,9.066326e-006,3,9.801848e-001,2.179443e+000,,,,,,,,,,,,,,32,2,4.000000e+000,2.748013e-003,0.000000e+000,0,,0,
1119504348.690,,4.300000e+001,2.002879e+000,8.496143e-004,9.068446e-006,3,9.869304e-001,1.067360e+000,,,,,,,,,,,,,,32,2,4.000000e+000,3.160954e-003,0.000000e+000,0,,0,
1119504429.760,,5.250000e+001,1.999833e+000,1.252756e-003,2.375329e-005,3,9.896880e-001,1.896083e+000,,,,,,,,,,,,,,32,2,4.000000e+000,2.632976e-003,0.000000e+000,0,,0,
1119504530.000,,6.200000e+001,2.002946e+000,1.747739e-003,4.565936e-006,3,9.897670e-001,2.612482e-001,,,,,,,,,,,,,,32,2,4.000000e+000,1.744986e-003,0.000000e+000,0,,0,
1119504614.750,,7.150000e+001,2.000423e+000,2.152545e-003,1.916463e-005,3,9.902458e-001,8.903245e-001,,,,,,,,,,,,,,32,2,4.000000e+000,2.690077e-003,0.000000e+000,0,,0,
1119504695.000,,8.100000e+001,2.002648e+000,2.541691e-003,1.751514e-005,3,9.905028e-001,6.891138e-001,,,,,,,,,,,,,,32,2,4.000000e+000,2.947807e-003,0.000000e+000,0,,0,
1119504780.080,,9.050000e+001,2.007700e+000,2.988907e-003,1.606141e-005,3,9.905639e-001,5.373673e-001,,,,,,,,,,,,,,32,2,4.000000e+000,1.430988e-003,0.000000e+000,0,,0,
1119504864.770,,1.000000e+002,1.999880e+000,3.375643e-003,1.663648e-005,3,9.906698e-001,4.928389e-001,,,,,,,,,,,,,,32,2,4.000000e+000,1.980901e-003,0.000000e+000,0,,0,
1119504879.220,,1.000000e+002,2.002435e+000,3.397672e-003,5.146855e-006,3,9.904839e-001,1.514818e-001,,,,,,,,,,,,,,32,2,4.000000e+000,2.832890e-003,0.000000e+000,0,,0,
1119504964.680,,9.000000e+001,1.999264e+000,3.220710e-003,2.302436e-006,3,9.901540e-001,7.148848e-002,,,,,,,,,,,,,,32,2,4.000000e+000,1.897097e-003,0.000000e+000,0,,0,
1119505050.200,,8.000000e+001,1.999711e+000,2.850658e-003,1.142410e-006,3,9.897252e-001,4.007531e-002,,,,,,,,,,,,,,32,2,4.000000e+000,2.143025e-003,0.000000e+000,0,,0,
1119505135.770,,7.000000e+001,1.999969e+000,2.471823e-003,1.870431e-006,3,9.894041e-001,7.567009e-002,,,,,,,,,,,,,,32,2,4.000000e+000,1.899958e-003,0.000000e+000,0,,0,
1119505221.730,,6.000000e+001,2.000300e+000,2.069125e-003,1.312644e-006,3,9.887719e-001,6.343956e-002,,,,,,,,,,,,,,32,2,4.000000e+000,2.116919e-003,0.000000e+000,0,,0,
