[Header]
TITLE,MPMS DC Measurement
BYAPP,MPMS Measurement,2.0,Summary
FILEOPENTIME, 1119586180.540000 6/24/2005, 1:09:40 PM

INFO, APPNAME, MPMS MultiVu Application, Revision 1.52,  Build 049

INFO, NAME, Bi2201Gd(041029)nonannealed
INFO, WEIGHT, 13.000
INFO, AREA, 1.000
INFO, LENGTH, 0.500
INFO, SHAPE, 0
INFO, COMMENT, 
INFO, SEQUENCE FILE: Bi2201Gd(050621byHarada).seq


INFO, BACKGROUND DATA FILE:, None


STARTUPAXIS,X,4,LINEAR,AUTO,0.000000,0.000000
STARTUPAXIS,Y1,5,LINEAR,AUTO,0.000000,0.000000


STARTUPGROUP,Longitudinal
FIELDGROUP,Longitudinal,1,2,3,4,5,6,7,8,9,15,16,17,18,27,28
FIELDGROUP,Transverse,1,2,3,4,10,11,12,13,14,19,20,21,22,27,28

PLOT_APPEARANCE,ALL,HORZ_GRID_ON,VERT_GRID_ON,MARKERS_AND_LINES

[Data]
Time,Comment,Field (Oe),Temperature (K),Long Moment (EMU),Long Scan Std Dev,Long Algorithm,Long Reg Fit,Long Percent Error (%),Trans Moment (EMU),Trans Scan Std Dev,Trans Algorithm,Trans Reg Fit,Trans Percent Error (%),Long Moment [w/o ABS] (EMU),Long Scan Std Dev [w/o ABS],Long Reg Fit [w/o ABS],Long Percent Error [w/o ABS] (%),Trans Moment [w/o ABS] (EMU),Trans Scan Std Dev [w/o ABS],Trans Reg Fit [w/o ABS],Trans Percent Error [w/o ABS] (%),Points per Scan,Scans per Measurement,Scan Length,Delta Temp (K),Rot Position,Error,EC Comp. Running,Using ABS,
1119586180.480,,5.000000e+000,2.000059e+000,-5.253707e-005,3.420918e-007,3,9.639140e-001,6.511436e-001,,,,,,,,,,,,,,32,4,4.000000e+000,1.546144e-003,0.000000e+000,0,,0,
1119586343.280,,5.000000e+000,2.692533e+000,-4.132187e-005,1.204671e-006,3,9.636226e-001,2.915335e+000,,,,,,,,,,,,,,32,4,4.000000e+000,1.939158e-001,0.000000e+000,0,,0,
1119586458.850,,5.000000e+000,3.264935e+000,-3.488325e-005,7.042118e-007,3,9.647380e-001,2.018768e+000,,,,,,,,,,,,,,32,4,4.000000e+000,1.507642e-001,0.000000e+000,0,,0,
1119586593.630,,5.000000e+000,3.882875e+000,-3.022866e-005,5.818843e-007,3,9.740260e-001,1.924942e+000,,,,,,,,,,,,,,32,4,4.000000e+000,1.766670e-001,0.000000e+000,0,,0,
1119586710.400,,5.000000e+000,4.458047e+000,-2.727634e-005,1.403671e-007,3,9.729578e-001,5.146115e-001,,,,,,,,,,,,,,32,4,4.000000e+000,1.601129e-001,0.000000e+000,0,,0,
1119586838.710,,5.000000e+000,5.061510e+000,-2.432611e-005,4.633814e-007,3,9.751259e-001,1.904873e+000,,,,,,,,,,,,,,32,4,4.000000e+000,1.310539e-001,0.000000e+000,0,,0,
1119586951.200,,5.000000e+000,5.636560e+000,-2.255663e-005,9.569429e-007,3,9.757187e-001,4.242403e+000,,,,,,,,,,,,,,32,4,4.000000e+000,1.319461e-001,0.000000e+000,0,,0,
1119587072.910,,5.000000e+000,6.230814e+000,-2.074329e-005,3.343873e-007,3,9.752691e-001,1.612027e+000,,,,,,,,,,,,,,32,4,4.000000e+000,1.338773e-001,0.000000e+000,0,,0,
1119587193.750,,5.000000e+000,6.820223e+000,-1.864792e-005,5.945149e-007,3,9.742984e-001,3.188103e+000,,,,,,,,,,,,,,32,4,4.000000e+000,1.352973e-001,0.000000e+000,0,,0,
1119587317.390,,5.000000e+000,7.420014e+000,-1.743807e-005,7.620062e-007,3,9.670774e-001,4.369786e+000,,,,,,,,,,,,,,32,4,4.000000e+000,1.367183e-001,0.000000e+000,0,,0,
1119587439.540,,5.000000e+000,8.001598e+000,-1.573394e-005,1.134772e-007,3,9.645945e-001,7.212256e-001,,,,,,,,,,,,,,32,4,4.000000e+000,1.362123e-001,0.000000e+000,0,,0,
1119587563.620,,5.000000e+000,8.598985e+000,-1.495660e-005,6.526169e-007,3,9.696971e-001,4.363403e+000,,,,,,,,,,,,,,32,4,4.000000e+000,1.282330e-001,0.000000e+000,0,,0,
